id,price,dist_navy_pier_miles,is_landmark_proximate,transit_north_premium,is_premium_transit_hub,shoreline_gravity,dist_to_nearest_beach_miles,crime_density_total,nb_homicides_half_mile
51620545,246.0,1.8667,1,0.2059,0.5904,0.6015,2.3502,1063.742,0
51632472,110.0,4.4636,0,0.0935,0.5109,0.2681,4.7328,152.0856,0
51633184,60.0,2.4582,0,0.2044,0.7068,0.5534,0.9569,253.4784,0
51640108,295.0,4.936,0,0.129,0.0,0.2962,3.2288,159.7822,0
51642557,208.0,10.9631,0,0.0185,0.2214,0.2593,4.2333,371.5063,0
51656658,250.0,5.5835,0,0.066,0.4346,0.3596,2.7012,446.6997,0
51690330,,8.4099,0,0.0823,0.0,0.1421,6.9459,217.7129,0
51696840,177.0,5.7355,0,0.0636,0.4286,0.3527,2.6217,446.6997,0
51707379,200.0,0.8104,1,0.3526,0.6383,0.9711,1.1257,1063.742,0
51709203,55.0,8.9848,0,0.0308,0.3075,0.812,1.9613,611.3177,0
51710533,28.0,7.6708,0,0.0861,0.0,0.149,6.2999,217.7129,1
51725687,209.0,0.9521,1,0.3421,0.6678,0.9236,0.3703,842.8006,0
51728958,118.0,8.4686,0,0.0899,0.0,0.1813,6.7211,235.8681,0
51735604,217.0,3.3194,0,0.1277,0.5516,0.3382,3.568,188.3615,0
51741823,286.0,4.7502,0,0.1362,0.7833,0.3794,2.9184,365.3628,0
51741865,263.0,4.7151,0,0.1395,0.7971,0.479,2.8323,365.3628,0
51741911,799.0,4.8661,0,0.137,0.8034,0.4807,2.9805,365.3628,0
51746218,295.0,6.0474,0,0.1226,0.8639,0.7273,4.1835,358.0325,1
51751554,69.0,3.3238,0,0.1298,0.5611,0.3179,3.4468,188.3615,0
51762035,54.0,8.8328,0,0.0319,0.3133,0.8285,1.8105,611.3177,0
51781759,50.0,8.1749,0,0.1023,0.0,0.5514,6.3053,402.4574,0
51785919,46.0,4.5482,0,0.1057,0.5867,0.2108,4.1332,383.6329,3
51797356,137.0,7.1565,0,0.0995,0.8116,0.2035,5.4488,165.1946,0
51815676,,4.5977,0,0.0873,0.0,0.3037,4.3913,152.0856,0
