id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,geometry,index_right,official_neighbourhood,dist_loop_center_miles,dist_navy_pier_miles,dist_ohare_airport_miles,dist_fulton_market_miles,dist_museum_campus_miles,dist_mccormick_place_miles,min_dist_rail_miles,avg_dist_top3_rail_miles,is_rail_accessible,dist_to_shoreline_miles,dist_to_nearest_beach_miles
1403697150626193980,"Luxury 3 Bed w/ Gym, Pool, Parking, Game Rm & More",235678953,Patty,,Loop,41.87470892849291,-87.63254414834658,Entire home/apt,291.0,2,13,2025-09-01,2.95,30,340,13,R25000128701,POINT (1175107.1634517831 1897713.0592810088),18,Loop,0.37482009469302174,2.6108720509146224,20.97961564328421,1.6472670217252787,1.6869221298643617,2.4260488445492228,0.031441322890553396,0.3259988559214866,1,0.9050770543323529,2.0735326917152532
1403715298441699402,"14th Floor 3Bd 3Bth Unit w/ Gym, Pool, &Amenities",235678953,Patty,,Loop,41.874700193822434,-87.63189315547176,Entire home/apt,273.0,2,19,2025-09-19,4.32,30,314,19,R25000128702,POINT (1175284.4857805818 1897711.324621136),18,Loop,0.3415648543661298,2.5776168105877306,21.013527951744706,1.6811793301857754,1.653009821403865,2.392136536088726,0.027125769109425435,0.32292238841237775,1,0.8726911400405868,2.0659879759419453
1403724157852137051,"High Rise Unit w/ Parking, Gym, Pool & Game Room",235678953,Patty,,Loop,41.87488,-87.63244,Entire home/apt,244.0,2,19,2025-09-11,4.35,30,327,19,R25000128700,POINT (1175135.0189491534 1897775.6291502854),18,Loop,0.3576940782826348,2.5937460345042354,20.973040951635276,1.640692330076347,1.6934968215132937,2.4326235361981547,0.019452710302000433,0.3180918640199727,1,0.8969495914978356,2.0607594768104422
1403924524195232570,Irving Park Suite,691152334,Yadira,,Irving Park,41.9513985,-87.71982179999999,Entire home/apt,126.0,3,5,2025-08-24,2.63,1,30,5,R25000130758,POINT (1151137.4335148877 1925476.7956301002),46,Irving Park,9.702439851580968,10.039677856872643,11.181610664877613,8.150737956681317,11.484927108270957,12.224053822955819,0.5969818163208932,1.0490162422779465,0,4.031705313857134,5.528403891006941
1404371648438234517,The Halden - Gold Coast Flat Near Mag Mile & Beach,481170999,Jorge,,Near North Side,41.90155,-87.62662,Entire home/apt,143.0,1,7,2025-09-10,1.65,15,328,7,2992979,POINT (1176640.0366957984 1907507.1680628664),17,Near North Side,1.7704416526313942,1.8063008212392258,19.41498770051103,2.136720325495822,3.25155007263754,3.990676787322401,1.19993261024614,1.458800201572473,0,0.1705148312136218,0.26313615902147436
1404408203174674137,Homey 2BR Apt w/ Parking,571359380,Arvin,,Portage Park,41.96717,-87.76676,Entire home/apt,,2,13,2025-09-09,3.07,17,141,13,R22000093652,POINT (1138331.256552664 1931136.0763757485),45,Portage Park,13.199685629587012,13.536923634878688,7.684364886871569,11.647983734687362,14.982172886277002,15.721299600961864,0.3471414167649105,0.8002399707402956,1,6.096540522268804,8.177790625649514
1404426126928029194,Luxury Designer Penthouse Combo | NW | Gold Coast,464407683,Hubbard Holdings,,Near North Side,41.90093,-87.62809,Entire home/apt,1334.0,1,0,,,31,65,0,R25000127383,POINT (1176241.710643748 1907277.9464169024),17,Near North Side,1.6515879219468457,1.8383281708767754,19.382960350873482,2.0178665948112737,3.2835774222750898,4.022704136959951,1.171978334638486,1.402724254114607,0,0.25394109642980056,0.34972634001776526
1404451433779541458,Roomy & Ready - 3BR w/ Parking,571359380,Arvin,,Portage Park,41.96598,-87.76858,Entire home/apt,119.0,2,20,2025-09-19,4.17,17,87,20,R21000072908,POINT (1137839.1588697408 1930699.1683303968),45,Portage Park,13.210138212460416,13.547376217752092,7.673912303998165,11.658436317560765,14.992625469150406,15.731752183835267,0.4670982539383409,0.8883353016271649,1,6.2079993233508866,8.226482486105283
1404458872552199855,West Loop Studio~Pool/Gym!,391945218,Matt,,Near West Side,41.88197203646549,-87.64596429125265,Entire home/apt,201.0,32,0,,,65,313,0,,POINT (1171431.0240538474 1900330.1726419972),13,Near West Side,1.096338804788794,2.811445163972817,19.787711711669786,0.4553630901108563,2.8788260614787844,3.617952776163645,0.278080666887417,0.5241559767906545,1,1.4516201985552313,1.9322765008845577
1404503145053088132,Bronzeville’s Finest Apartment,690422128,Damilola,,Douglas,41.8261003,-87.6227373,Entire home/apt,92.0,32,0,,,1,365,0,,POINT (1177924.6097512268 1880022.159659582),38,Douglas,3.9797215512329287,5.427813967956878,24.86377206769151,5.531423446132579,3.055341854756107,2.011213471421224,0.506946246239509,1.1990795618624925,0,1.4007360352726401,3.293891530855374
1404503892451502796,West Town Getaway Sleeps 14 plus 2 parking spots!,5845899,James,,West Town,41.89454169094723,-87.66997195063287,Entire home/apt,334.0,2,5,2025-09-07,1.47,11,126,5,R18000036353,POINT (1164857.9318454063 1904859.0983913455),11,West Town,3.1989937210367785,3.536231726328454,17.685056795421804,1.647291826137128,4.981480977726768,5.72060769241163,1.0176042382086126,1.4277556536168028,0,2.4574771082183915,2.5298207054916984
1404645507549698961,10min DT | 4min UC | Sleeps 10 | Vintage | FreePrk,549251391,Tibo,,East Garfield Park,41.87547,-87.69341,Entire home/apt,253.0,1,3,2025-06-28,0.83,8,114,3,R25000125752,POINT (1158528.44167348 1897860.927105246),51,East Garfield Park,3.486724252660034,5.722776208881634,17.811700945833362,3.120445579795606,4.85483682731521,5.593963542000071,0.9770596624881779,1.1335469108666787,0,3.9336851793655763,4.146770653350897
1404675628805456585,*NEW* West Loop GreenLine 1br w/Backyard-near CTA,157696448,Azam,,East Garfield Park,41.8838264,-87.6955174,Entire home/apt,79.0,1,25,2025-09-14,5.03,2,118,25,R25000128253,POINT (1157931.8741704714 1900901.7160212388),51,East Garfield Park,3.7612428317996973,5.259855486725538,17.122807684658884,2.6575248576395096,5.543730088489688,6.282856803174549,0.5203086713667935,1.0199045415417818,0,3.9068477596622215,4.009715097340071
1404727441309520103,Luxury Chicago Apartment,467476334,Emre,,Lincoln Square,41.97838,-87.67912,Entire home/apt,111.0,1,20,2025-09-01,4.35,6,77,20,R25000126027,POINT (1162134.1169549036 1935390.8517677267),0,Lincoln Square,9.497396801886014,9.83463480717769,12.111811089589018,7.945694906986363,11.279884058576004,12.019010773260865,0.7457684834989408,2.035907923118556,0,1.5335917706830635,5.215856491239438
1404857868089832556,Apt in RiverNorth-A,62022982,Patricia,,Near North Side,41.89655,-87.63381,Entire home/apt,138.0,1,18,2025-09-09,3.67,29,144,18,R25000127692,POINT (1174697.5335973627 1905669.123405265),17,Near North Side,1.488846611560086,1.826084616851762,19.395203904898494,1.4207074929130172,3.271333868250076,4.010460582934937,0.9985017681591332,1.0908393534816223,0,0.6088534216101517,0.7684162738454926
1405011331953817643,Comfy Studio in Portage Park- Great Value!,421060852,Kim John,,Portage Park,41.9608,-87.75481,Entire home/apt,81.0,2,17,2025-09-13,3.45,15,166,17,R22000085481,POINT (1141596.778041184 1928836.5429811457),45,Portage Park,12.14569796232893,12.482935967620605,8.738352554129651,10.593996067429279,13.92818521901892,14.66731193370378,0.4473249638877405,0.8144034882693265,1,5.612047033553917,7.432426270320286
