k,silhouette,DBI,CHI,inertia
3,0.15451661625646118,2.0701510250448516,1076.140095351252,101573.19928722939
4,0.13330753587940697,2.1218245130135176,947.849865816907,94649.53564058976
5,0.13767491284592742,2.0972240944977623,859.7890396294068,89397.20184967214
6,0.1413750555221307,1.9989710550351363,816.5916287597802,84337.41734128696
7,0.12735076617296454,2.128178824068944,758.1133370955691,81018.18048005215
8,0.13768963233892387,2.013399053705528,714.8554769258841,78015.4685237243
