listing_id,price,accommodates,bedrooms,bathrooms,room_type,property_type,review_scores_rating,occupancy_proxy,weekend_occupancy_proxy,summer_occupancy_proxy,winter_occupancy_proxy,total_review_count,recent_review_count,avg_review_length,estimated_annual_revenue,log_revenue,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_type_clean_Entire home,property_type_clean_Entire rental unit,property_type_clean_Other,property_type_clean_Private room in home,property_type_clean_Private room in rental unit,Amenity_PCA_1,Amenity_PCA_2,Amenity_PCA_3,Amenity_PCA_4,Amenity_PCA_5,Cluster_ID
1430530695214056186,109.0,4,1.0,1.0,Entire home/apt,Entire rental unit,4.75,0.36164383561643837,0.3557692307692308,0.7934782608695652,0.03333333333333333,16.0,16.0,317.1875,14388.000000000002,9.574219304763417,0.0,1.0,1.0,1.0,1.0,Lower West Side,41.85763,-87.67053,2.0,1,30,1.0,5,233,16,16,6,0,4.69,4.88,4.81,5.0,4.94,4.75,t,1,6.08,False,False,False,False,True,False,False,False,-2.5003062846295,-1.8589671477820304,-0.0967259925490443,-0.4503798323222272,0.1220580264301518,0
1430643505391743742,128.0,6,3.0,1.0,Entire home/apt,Entire rental unit,,0.005479452054794521,0.0,0.0,0.0,0.0,0.0,0.0,256.0,5.54907608489522,0.0,268.0,376.0,1.0,0.0,Greater Grand Crossing,41.75556,-87.60313,4.0,32,1125,1.0,28,363,0,0,0,0,4.89,4.87,4.93,4.95,4.87,4.78,t,22,1.59,False,False,False,False,True,False,False,False,-0.5203248642450116,-0.079234545726984,0.1743346789936442,0.9212648487970806,-0.0937594727825683,0
1430783414399077094,107.0,5,2.0,1.0,Entire home/apt,Entire rental unit,4.69,0.7424657534246575,0.7692307692307693,1.0,0.6555555555555556,13.0,13.0,216.53846153846155,28996.999999999996,10.274982141073139,0.0,1.0,1.0,1.0,1.0,Logan Square,41.9217459,-87.7239668,3.0,2,365,1.0,26,94,13,13,3,0,4.69,4.85,4.85,5.0,4.62,4.62,f,1,3.58,False,False,False,False,True,False,False,False,1.5615004846223068,-1.2835847429614051,0.5986633133620156,0.493905212535773,-0.1539444737556249,1
1431229773272646995,605.0,16,4.0,3.5,Entire home/apt,Entire home,5.0,0.09863013698630137,0.125,0.0,0.03333333333333333,10.0,10.0,250.4,21780.0,9.988793309115229,1.0,4.0,5.0,1.0,1.0,Lincoln Park,41.91513343939491,-87.65258788935336,8.0,2,365,1.0,12,329,10,10,1,0,5.0,5.0,5.0,5.0,5.0,4.9,f,2,2.61,False,False,False,True,False,False,False,False,1.3554480652523693,-0.1978110296291517,1.3363530849114835,0.5369802755402953,1.2588980633011335,4
1431270603359523263,64.0,2,1.0,1.5,Private room,Private room in rental unit,5.0,0.03287671232876712,0.038461538461538464,0.021739130434782608,0.0,1.0,1.0,263.0,767.9999999999999,6.6450909695056435,0.0,10.0,11.0,1.0,1.0,Hyde Park,41.80133,-87.5982,1.0,3,365,1.0,20,353,1,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,f,10,0.61,False,True,False,False,False,False,False,True,-0.0860925277500603,0.6231573047271959,1.5771219823182343,0.8537811275773585,-0.2087049203744725,2
1431274085896746774,60.0,2,1.0,1.5,Private room,Private room in rental unit,4.5,0.2219178082191781,0.22115384615384615,0.021739130434782608,0.34444444444444444,2.0,2.0,162.0,4860.0,8.488999457045455,0.0,10.0,11.0,1.0,1.0,Hyde Park,41.80186,-87.5967,1.0,3,365,1.0,13,284,2,2,2,0,4.5,4.0,5.0,5.0,5.0,5.0,t,10,2.0,False,True,False,False,False,False,False,True,-0.0860925277500603,0.6231573047271959,1.5771219823182343,0.8537811275773585,-0.2087049203744725,2
1431816559336540229,197.0,8,2.0,2.0,Entire home/apt,Entire rental unit,5.0,0.04657534246575343,0.04807692307692308,0.0,0.0,9.0,9.0,303.8888888888889,3349.0000000000005,8.116715624819113,1.0,39.0,44.0,1.0,1.0,West Town,41.8948584,-87.6522234,4.0,1,365,1.0,14,348,9,9,3,0,5.0,5.0,4.78,5.0,4.89,5.0,f,26,3.7,False,False,False,False,True,False,False,False,1.5718001434423825,1.3728226607668654,1.3553955125282298,-0.5246931097634823,-0.1455581580893849,1
1431853223299924734,29.0,2,1.0,1.0,Private room,Private room in rental unit,5.0,0.22465753424657534,0.23076923076923078,0.0,0.15555555555555556,1.0,1.0,289.0,2378.0,7.774435510302958,0.0,3.0,5.0,1.0,1.0,Armour Square,41.840577831916335,-87.63124973689537,1.0,32,365,1.0,0,283,1,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,t,3,0.42,False,True,False,False,False,False,False,True,-0.5881419258799778,-1.3501485495839791,-0.8357375051547177,1.0354275591750777,-0.5443961863063723,2
1431978516947519299,116.0,4,2.0,1.0,Entire home/apt,Entire home,,0.030136986301369864,0.019230769230769232,0.0,0.044444444444444446,0.0,0.0,0.0,1276.0,7.152268856032539,0.0,1.0,1.0,1.0,1.0,Portage Park,41.95462,-87.78271,4.0,1,365,1.0,24,354,0,0,0,0,4.89,4.87,4.93,4.95,4.87,4.78,f,1,1.59,False,False,False,True,False,False,False,False,-0.8363554928643704,-0.5022518565685068,0.5558600641091871,-0.6755048443811691,-0.5028944498103243,4
1432299466401658177,109.0,5,3.0,1.0,Entire home/apt,Entire rental unit,,0.3095890410958904,0.34615384615384615,0.7934782608695652,0.0,0.0,0.0,0.0,12317.0,9.418816886246988,0.0,1.0,3.0,1.0,1.0,Kenwood,41.81401214381405,-87.60086191680607,3.0,2,27,1.0,12,252,0,0,0,0,4.89,4.87,4.93,4.95,4.87,4.78,t,1,1.59,False,False,False,False,True,False,False,False,-0.3882565558602886,-0.0175916368241701,0.881138079144125,0.6370146566368499,-0.4993883685260302,1
